epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,42869.7,0.66241,0.45152,0.82797,0.86192,0.81085,0.89349,0.75278,0.72933,0.54124,0.84517,2.222e-05,2.222e-05,2.222e-05
52,43651.4,0.65571,0.44358,0.82676,0.85852,0.80186,0.8869,0.74527,0.7276,0.54865,0.84552,2.17844e-05,2.17844e-05,2.17844e-05
53,44465.4,0.65621,0.43976,0.82464,0.85182,0.82015,0.89374,0.75256,0.73233,0.55501,0.84756,2.13488e-05,2.13488e-05,2.13488e-05
54,45309.4,0.64527,0.43278,0.82506,0.86797,0.81325,0.89451,0.74978,0.73694,0.54632,0.84928,2.09132e-05,2.09132e-05,2.09132e-05
55,46181.3,0.65352,0.43831,0.8266,0.85196,0.8114,0.89272,0.75079,0.73079,0.5398,0.84818,2.04776e-05,2.04776e-05,2.04776e-05
56,47001.4,0.64275,0.42275,0.82498,0.85964,0.81178,0.90056,0.75824,0.73165,0.53594,0.84852,2.0042e-05,2.0042e-05,2.0042e-05
57,47812.9,0.64014,0.42671,0.82147,0.87018,0.80048,0.89787,0.75704,0.72881,0.54308,0.84756,1.96064e-05,1.96064e-05,1.96064e-05
58,48594.4,0.63523,0.41391,0.82131,0.88678,0.78643,0.89302,0.75561,0.73008,0.54519,0.84709,1.91708e-05,1.91708e-05,1.91708e-05
59,49469.2,0.64453,0.42852,0.82283,0.85394,0.81338,0.89743,0.76004,0.72691,0.53613,0.84693,1.87352e-05,1.87352e-05,1.87352e-05
60,50268.4,0.63053,0.40959,0.82117,0.88351,0.81234,0.90379,0.76462,0.72279,0.52824,0.84601,1.82996e-05,1.82996e-05,1.82996e-05
61,51137,0.63902,0.41518,0.8233,0.85234,0.81479,0.89449,0.75673,0.72233,0.53142,0.84495,1.7864e-05,1.7864e-05,1.7864e-05
62,51961.6,0.62589,0.41085,0.81977,0.83464,0.81801,0.89469,0.7627,0.71722,0.53196,0.84428,1.74284e-05,1.74284e-05,1.74284e-05
63,52773,0.62712,0.41306,0.82464,0.84946,0.82419,0.90324,0.76052,0.71853,0.52893,0.84411,1.69928e-05,1.69928e-05,1.69928e-05
64,53562.5,0.62973,0.40772,0.82481,0.87088,0.8143,0.90307,0.76174,0.72575,0.53414,0.84637,1.65572e-05,1.65572e-05,1.65572e-05
65,54392.7,0.61734,0.40361,0.81799,0.86669,0.81064,0.90077,0.76455,0.71414,0.52386,0.84472,1.61216e-05,1.61216e-05,1.61216e-05
66,55239.9,0.62671,0.40906,0.824,0.8676,0.82284,0.90345,0.76352,0.71645,0.52078,0.84456,1.5686e-05,1.5686e-05,1.5686e-05
67,56128.4,0.62376,0.40366,0.81958,0.88379,0.81214,0.90505,0.76582,0.71391,0.52367,0.84392,1.52504e-05,1.52504e-05,1.52504e-05
